time;y1;y2;y3;x1;x2;x3;s1;s2;s3;u1;u2
0;-0.0003166000000000002;-0.000124000000000013;-0.0005639999999999534;0;0;0;0;0;0;0.00010128;0
0;-0.0003166000000000002;-0.000124000000000013;-0.0005639999999999534;0;0;0;0;0;0;0.00010128;0
1;-0.0003166000000000002;0.000041760000000001796;-0.0005639999999999534;0;0;0;0;0;0;0.00010128;0
2;0.0008482000000000212;-0.000124000000000013;-0.0005639999999999534;0.000827585452051549;0.000056719942451745236;0.00018332619739681394;2.1825388403903066e-7;1.4337922312390447e-7;1.2151250006105252e-7;0.00010128;0
3;0.009001800000000004;-0.000124000000000013;0.00009520000000001749;0.0017870834254913792;0.00011357788711847154;0.0003748755895076772;4.410005989949686e-7;1.76986462567271e-7;1.4017870597318116e-7;0.00010128;0
4;0.014659399999999989;-0.000124000000000013;0.0009192000000000089;0.002959431295760011;0.0001739473227984367;0.0005750593531912236;7.876677030798637e-7;1.980111853725724e-7;1.561011681763807e-7;0.00010128;0
5;0.022480200000000006;0.00020752000000001658;0.0009192000000000089;0.004413370453579309;0.0002383932819416693;0.0007904827303930926;0.000001250944597236064;2.1973773922720464e-7;1.7038424462218682e-7;0.00010128;0
6;0.027638600000000013;0.00037327999999997585;0.0024024000000000267;0.006298347888795486;0.00030521168436520893;0.001026070830879215;0.0000018392004732108682;2.471589745740784e-7;1.8320577683611317e-7;0.00010128;0
7;0.0349602;0.0007048000000000054;0.003226400000000018;0.008715624645095555;0.00037774522498280866;0.0012834298226656528;0.0000025681493924599745;2.781081948767051e-7;1.944672775970736e-7;0.00010128;0
8;0.041283400000000026;0.0008705600000000202;0.0040504000000000095;0.011822965799652653;0.0004511128721845089;0.0015731077214474155;0.0000034516509331526444;3.1029188541695437e-7;2.0407333157174397e-7;0.00010128;0
9;0.04710740000000002;0.0008705600000000202;0.005698400000000048;0.01586827767274595;0.0005202854792451479;0.0019003664287508093;0.0000044466550916058394;3.422245699861274e-7;2.118963613698431e-7;0.00010128;0
10;0.052765000000000006;0.0008705600000000202;0.006357600000000019;0.02081397842728897;0.0005934480883133673;0.0022716055376593275;0.000005508386228861276;3.72977541962082e-7;2.177332314362477e-7;0.00010128;0
11;0.052765000000000006;0.0008705600000000202;0.00718160000000001;0.026724631816286912;0.0006636589540132603;0.0027044604021951605;0.0000065398231674481045;4.023538442531382e-7;2.2155069961663704e-7;0.00010128;0
12;0.05875540000000001;0.0008705600000000202;0.008829600000000049;0.03293248800658205;0.00074007432944587;0.0032094481790926025;0.000007464274787389094;4.3022565061773616e-7;2.2352765949439105e-7;0.00010128;0
13;0.0649122;0.001367840000000009;0.00965360000000004;0.039797121683081;0.0008170338082215283;0.003785727310167953;0.00000815012140322729;4.5715444264992754e-7;2.2418733197656906e-7;0.00010128;0
14;0.0707362;0.001699359999999983;0.010972000000000037;0.047085313589456834;0.0009038833534675806;0.004448482575765613;0.000008593490405088358;4.83295174672013e-7;2.239922085809012e-7;0.00010128;0
15;0.07639380000000001;0.0020308800000000127;0.012125600000000014;0.054568532139209494;0.0009807567941974525;0.005196557229985732;0.000008761846855143129;5.093947550931542e-7;2.235901372198638e-7;0.00010128;0
16;0.08138580000000001;0.0020308800000000127;0.012125600000000014;0.062028209355727115;0.0010627100852143511;0.006023282283700282;0.000008733990425203327;5.354658518804981e-7;2.2353536684060955e-7;0.00010128;0
17;0.08704340000000002;0.0021966400000000275;0.013608800000000032;0.06928121135854268;0.0011412697831447783;0.006926442418432065;0.00000856929160681562;5.621609170228096e-7;2.2419596694142716e-7;0.00010128;0
18;0.09253460000000002;0.0026939200000000163;0.01492720000000003;0.07632707365048855;0.0012189973566793127;0.007900973269245234;0.000008325286552378037;5.895938243584992e-7;2.2580573113717993e-7;0.00010128;0
19;0.09785940000000001;0.0028596799999999756;0.016245600000000027;0.08313654334695106;0.001306726975151854;0.008938445877674676;0.000008053357401367433;6.178209917165884e-7;2.2847274176058114e-7;0.00010128;0
20;0.10368340000000001;0.0030254399999999904;0.01789360000000001;0.08967115380336062;0.0013850176889263325;0.010034700314201154;0.00000782120449742241;6.473729559810808e-7;2.3211300899038272e-7;0.00010128;0
21;0.1086754;0.0030254399999999904;0.019541600000000048;0.09598291293145099;0.0014697222176392288;0.011181767031071658;0.00000765493269155939;6.777057444223223e-7;2.366318540796582e-7;0.00010128;0
22;0.1086754;0.003688479999999994;0.02102480000000001;0.10203072739520483;0.0015566827956112071;0.012375220706180396;0.000007556989069377983;7.090565904597674e-7;2.418340348617712e-7;0.00010128;0
23;0.11350100000000002;0.0038542400000000088;0.021848800000000057;0.1074143711765953;0.0016414200310635517;0.013610091086608832;0.00000748545565306042;7.413301020226001e-7;2.474685991810699e-7;0.00010128;0
24;0.11899220000000002;0.004351519999999998;0.023167200000000054;0.11262126785486976;0.0017289700581869425;0.014875637111563176;0.000007443810342472291;7.741614368192369e-7;2.531251698186241e-7;0.00010128;0
25;0.1238178;0.0048487999999999865;0.024980000000000002;0.11774819500563717;0.0018187633864790896;0.016168998429778068;0.000007453045436872256;8.07536226986473e-7;2.585097879344107e-7;0.00010128;0
26;0.12914260000000002;0.005346079999999975;0.026792800000000006;0.12277093457008283;0.0019113028253639368;0.017487362811459347;0.000007453460512225626;8.413233020442147e-7;2.6360611655933943e-7;0.00010128;0
27;0.13413460000000002;0.00584336000000002;0.026792800000000006;0.1277491965606046;0.0020073818936383976;0.018828352399385382;0.0000074620492645451045;8.754757218359906e-7;2.6830752415953306e-7;0.00010128;0
28;0.13912660000000002;0.0063406400000000085;0.028440800000000044;0.13267222463126296;0.002107013719226134;0.020190610649077827;0.000007481474928676731;9.099383736740193e-7;2.7261156180187413e-7;0.00010128;0
29;0.14428500000000002;0.006837919999999997;0.030088800000000027;0.1375601566025803;0.002210929159809985;0.021572341154704848;0.000007515915769222038;9.446467488232522e-7;2.765427050259145e-7;0.00010128;0
30;0.14877780000000002;0.007169440000000027;0.03107760000000004;0.1424367979327773;0.00231874998727616;0.022971253138355456;0.0000075630358990476585;9.79550554086655e-7;2.801402077473861e-7;0.00010128;0
31;0.15393620000000002;0.007832479999999975;0.03338480000000005;0.14725579894777127;0.0024320587280377637;0.024386795280959644;0.000007631020638518345;0.0000010146351838943933;2.833733410854537e-7;0.00010128;0
32;0.1587618;0.007832479999999975;0.034703200000000045;0.15209615639074775;0.0025504635086288307;0.025817276190725297;0.000007667381575022347;0.000001049863671374774;2.8629297820717315e-7;0.00010128;0
33;0.1587618;0.00799823999999999;0.03585680000000002;0.15693033182278804;0.0026731999749594823;0.027261715436049012;0.000007702625497967617;0.0000010852785059077257;2.889619403568076e-7;0.00010128;0
34;0.16358740000000002;0.008827040000000008;0.03832880000000005;0.16131464868910872;0.0028054390483302095;0.028719138474180495;0.00000772991462916718;0.0000011208930772301409;2.914288780782332e-7;0.00010128;0
35;0.16857940000000002;0.009324319999999997;0.03964720000000005;0.1657302433574148;0.0029415356216560377;0.030183639078366426;0.000007722840451404806;0.0000011568717333779994;2.933671588774511e-7;0.00010128;0
36;0.1729058;0.009655840000000027;0.04129520000000003;0.17018352970296863;0.0030839394503948164;0.03165650848262057;0.000007725993253882325;0.0000011930570712250817;2.9497014346087506e-7;0.00010128;0
37;0.177565;0.010153120000000015;0.04360240000000004;0.17462249669695984;0.003232326127248859;0.03313636813638523;0.000007719869244395596;0.0000012295490599698883;2.9626583251196097e-7;0.00010128;0
