time;y1;y2;y3;x1;x2;x3;s1;s2;s3;u1;u2
0;0.5999714;0.5996785600000001;-0.0008935999999999944;0;0;0;0;0;0;0;0
0;0.5999714;0.5996785600000001;-0.0008935999999999944;0;0;0;0;0;0;0;0
1;0.6001378;0.5998443200000001;-0.0007287999999999739;0;0;0;0;0;0;0;0
2;0.6001378;0.5998443200000001;-0.0007287999999999739;0.015965309703295752;-0.000025659754714854996;-0.00025375701701211217;0.0000023291929199180096;1.5242715796800207e-7;1.1671954008715241e-7;0;0
3;0.6001378;0.5996785600000001;-0.0007287999999999739;0.04514970571751088;0.0000360933634309635;-0.0002916199971345821;0.000004190256125786925;1.938699373136422e-7;1.4460811035906242e-7;0;0
4;0.6003042000000001;0.5998443200000001;-0.0007287999999999739;0.12654620507551406;-0.0000021750370955441267;-0.000011912088814666278;0.000012623845354061597;2.4299177887231225e-7;2.6971367082173157e-7;0;0
5;0.6001378;0.5996785600000001;-0.0008935999999999944;0.34807037102222627;-0.00005926290806958846;0.001232158912111556;0.00003885293485656029;4.5390100631922417e-7;0.000001131705672137146;0;0
6;0.5999714;0.5998443200000001;-0.0008935999999999944;0.5033481644661228;0.000004267993458129701;0.00419332450288302;0.00005181844669045783;9.73508504171807e-7;0.000006138236357192675;0;0
7;0.6001378;0.5996785600000001;-0.0007287999999999739;0.5651630905623536;0.000020537372868795058;0.007311461261934654;0.0000532923537929638;0.0000015049015611201453;0.00001403299823344706;0;0
8;0.6001378;0.5998443200000001;-0.0008935999999999944;0.5876073278860666;0.00002283618132949599;0.01036786049853337;0.000053414643034831736;0.0000020401145268152973;0.000022688211987490042;0;0
9;0.5999714;0.5996785600000001;-0.0007287999999999739;0.595640455938794;0.000027336642843827846;0.013376660201287645;0.0000531560033105951;0.000002605758998139667;0.000031352413846983254;0;0
10;0.6003042000000001;0.5996785600000001;-0.0008935999999999944;0.5983937244396186;0.000030096668785833694;0.01633985557271843;0.000054086419114766964;0.0000034538213516091263;0.000039567458458201614;0;0
11;0.6003042000000001;0.5998443200000001;-0.0007287999999999739;0.5995911805104063;0.000034636697516786895;0.019275729412538876;0.000054245313395490934;0.0000068675767927289945;0.00004514746144552554;0;0
12;0.6003042000000001;0.5996785600000001;-0.0007287999999999739;0.6000441939361918;0.000039074103019752985;0.02218525497128856;0.000054460829553573935;0.000022840422298946627;0.000038404072089807485;0;0
13;0.6003042000000001;0.5996785600000001;-0.0008935999999999944;0.6001870417790837;0.000045141804339406684;0.02506927344212591;0.000054047819103922946;0.0000437762918685639;0.000026615820047249126;0;0
14;0.6001378;0.5996785600000001;-0.0008935999999999944;0.6002325263345663;0.000051723825324660115;0.027928802908307612;0.00005429146972050693;0.00005315702256596133;0.00002598011817543706;0;0
15;0.5999714;0.5996785600000001;-0.0007287999999999739;0.6001759707750055;0.0000585278875923101;0.030764491586707295;0.000054051458016589514;0.00005699948483637518;0.00003047695393538926;0;0
