time;y1;y2;y3;x1;x2;x3;s1;s2;s3;u1
0;0.0013473999999999986;0.0012020799999999943;0.0014136000000000148;0;0;0;0;0;0;0
0;0.0013473999999999986;0.0012020799999999943;0.0014136000000000148;0;0;0;0;0;0;0
1;0.0013473999999999986;0.0012020799999999943;0.0017432000000000558;0;0;0;0;0;0;0
2;0.0015138000000000096;0.001367840000000009;0.0017432000000000558;-0.00005060833491393838;-0.000011369484305422455;-0.00007089862918297799;1.186797284213366e-7;9.822287399681672e-8;1.0174415787740387e-7;0
3;0.0010146000000000321;0.0012020799999999943;0.0017432000000000558;-0.00009887631544232526;-0.00002270562553996297;-0.00014098596364046183;1.376964131063266e-7;9.648672938972868e-8;1.0344952376940053e-7;0
4;0.0010146000000000321;0.001367840000000009;0.0014136000000000148;-0.00014587321407850035;-0.0000339573026977383;-0.00021041570434570273;1.5711265796238206e-7;9.478598531820991e-8;1.0502313943607625e-7;0
5;0.0010146000000000321;0.001367840000000009;0.0019080000000000208;-0.00019081254270175913;-0.000045045443574673316;-0.0002791788744895936;1.7686607076648811e-7;9.314243573238269e-8;1.0643852529852017e-7;0
6;0.0013473999999999986;0.001367840000000009;0.0014136000000000148;-0.00023337989892917207;-0.000055978609194955974;-0.0003473147254516801;1.9685615062574134e-7;9.159077805610796e-8;1.0771385211336825e-7;0
7;0.0013473999999999986;0.0012020799999999943;0.0019080000000000208;-0.00027300195466121736;-0.00006680956497094668;-0.0004148300440226945;2.1699608913710538e-7;9.016659181618291e-8;1.0888129125705511e-7;0
8;0.0010146000000000321;0.0012020799999999943;0.0017432000000000558;-0.00031021786736012486;-0.00007746690033595699;-0.0004817897625398171;2.3718739465398558e-7;8.890283552448765e-8;1.0995995503785301e-7;0
9;0.0013473999999999986;0.0012020799999999943;0.0019080000000000208;-0.00034631133020177334;-0.00008798182742717198;-0.0005481349313167402;2.5737437180928255e-7;8.783298088738156e-8;1.1094633770126367e-7;0
10;0.0013473999999999986;0.0012020799999999943;0.0019080000000000208;-0.0003790949179988987;-0.00009836434840928884;-0.0006138477683014196;2.775380316015329e-7;8.699930269446791e-8;1.1180925555241581e-7;0
11;0.0013473999999999986;0.0012020799999999943;0.0019080000000000208;-0.00041016153031302204;-0.00010857701622818365;-0.0006789963940771907;2.9769670256048183e-7;8.64598153198152e-8;1.1248698735071735e-7;0
12;0.0013473999999999986;0.0012020799999999943;0.0019080000000000208;-0.00043901987781507493;-0.0001186409877276277;-0.000743589793535428;3.178178037965917e-7;8.629336598167704e-8;1.1289362162197594e-7;0
13;0.0015138000000000096;0.0012020799999999943;0.0017432000000000558;-0.00046532220499491015;-0.00012855224115449377;-0.0008076590719803818;3.379010389832339e-7;8.660109483053047e-8;1.1291812034744327e-7;0
14;0.0013473999999999986;0.0012020799999999943;0.0017432000000000558;-0.0004884891637962528;-0.0001383791868385808;-0.000871248668810962;3.5798695034908064e-7;8.750011393256851e-8;1.1243219840987484e-7;0
15;0.0013473999999999986;0.0012020799999999943;0.0019080000000000208;-0.0005112254921932641;-0.00014807542093571704;-0.0009342984605708293;3.7804022134285376e-7;8.91034279948416e-8;1.113105795274983e-7;0
16;0.0013473999999999986;0.0012020799999999943;0.0019080000000000208;-0.0005314901828975677;-0.0001575530902580307;-0.0009968397349893927;3.980934856360119e-7;9.148074364783784e-8;1.0946918896609756e-7;0
17;0.0013473999999999986;0.0012020799999999943;0.0017432000000000558;-0.0005488447691665133;-0.00016690371131766618;-0.0010588539927448948;4.180898147682889e-7;9.460406422246666e-8;1.0691966004478908e-7;0
18;0.0013473999999999986;0.0012020799999999943;0.0019080000000000208;-0.0005655205529374241;-0.00017613804462315071;-0.001120387083735849;4.3810208659795966e-7;9.830176603010449e-8;1.0381599331921511e-7;0
19;0.0015138000000000096;0.0012020799999999943;0.0017432000000000558;-0.0005800957030108478;-0.00018519203303711922;-0.0011814667522996234;4.5806936442699147e-7;1.0226090848225011e-7;1.0045592710194649e-7;0
20;0.0013473999999999986;0.0012020799999999943;0.0019080000000000208;-0.0005906057006081274;-0.00019413142853549477;-0.0012421263709062969;4.7798122438835e-7;1.0610063666659306e-7;9.720904949217961e-8;0
21;0.0013473999999999986;0.0012020799999999943;0.0019080000000000208;-0.000599928188653424;-0.00020289563808197352;-0.0013023186815517057;4.979528057770223e-7;1.0948497256933794e-7;9.440541852076589e-8;0
22;0.0013473999999999986;0.0012020799999999943;0.0019080000000000208;-0.0006079300406380181;-0.00021151406600650017;-0.0013621507784279477;5.177494849566354e-7;1.1220880401499182e-7;9.224901772618468e-8;0
23;0.0015138000000000096;0.0012020799999999943;0.0019080000000000208;-0.0006142749716985977;-0.0002199823544618886;-0.0014215061606017286;5.376515061237922e-7;1.1421502859023785e-7;9.080141876813272e-8;0
24;0.0015138000000000096;0.0012020799999999943;0.0019080000000000208;-0.0006174647867603865;-0.00022829256690377664;-0.0014805348557611125;5.57495346642858e-7;1.155565826539586e-7;9.001455786358957e-8;0.00005064
