time;x1;x2;x3
0;-27856;-26544;31320
1;-27856;-26544;31320
2;-27856;-26544;31320
3;-27856;-26544;31320
4;-27856;-26528;31320
5;-27856;-26544;31320
6;-27856;-26544;31304
7;-27856;-26544;31320
8;-27856;-26544;31320
9;-27856;-26544;31320
10;-27856;-26544;31320
11;-27856;-26544;31320
12;-27856;-26544;31320
13;-27856;-26544;31288
14;-27712;-26528;31288
15;-27136;-26528;31096
16;-26688;-26544;30232
17;-26240;-26544;29672
18;-25600;-26544;29144
19;-25152;-26544;28616
20;-24672;-26544;28136
21;-24112;-26544;27688
22;-23696;-26528;27032
23;-23200;-26544;26616
24;-22768;-26528;26104
25;-22192;-26528;25672
26;-21776;-26528;25112
27;-21312;-26544;24712
28;-20800;-26544;24296
29;-20416;-26544;23720
30;-19840;-26480;23336
31;-19472;-25760;22968
32;-19072;-25120;22456
33;-18640;-24288;22072
34;-18192;-23664;21560
35;-17696;-23072;21160
36;-17232;-22048;20776
37;-16928;-21360;20360
38;-16384;-20784;19880
39;-16048;-19856;19496
40;-15712;-19168;19064
41;-15232;-18496;18664
42;-14848;-17712;18264
43;-14512;-17120;17944
44;-14032;-16560;17576
45;-13728;-15632;17240
46;-13248;-14992;16744
47;-12992;-14256;16440
48;-12672;-13600;16088
49;-12224;-12976;15640
50;-11904;-12208;15320
51;-11616;-11584;14904
52;-11200;-10960;14600
53;-10912;-10256;14264
54;-10624;-9648;13864
55;-10224;-9040;13560
56;-9936;-8272;13192
57;-9616;-7600;12872
58;-9296;-7088;12600
59;-9008;-6336;12296
60;-8768;-5776;11896
61;-8448;-5200;11624
62;-8064;-4576;11320
63;-7824;-3808;10984
64;-7568;-3248;10680
65;-7248;-2704;10424
66;-6992;-1936;10168
67;-6768;-1424;9832
68;-6416;-880;9560
69;-6208;-224;9336
70;-5968;328;9032
71;-5648;1016;8792
72;-5440;1560;8568
73;-5216;2072;8264
74;-4928;2744;8024
75;-4736;3240;7816
76;-4496;3704;7608
77;-4224;4552;7336
78;-4048;5032;7016
79;-3840;5480;6904
80;-3680;6088;6712
81;-3456;6552;6488
82;-3264;7048;6264
83;-3072;7592;6088
84;-2832;8200;5896
85;-2704;8664;5688
86;-2512;9112;5512
87;-2336;9736;5304
88;-2208;10168;5192
89;-2000;10632;5000
90;-1856;11208;4824
91;-1696;11672;4664
92;-1552;12104;4536
93;-1408;12680;4376
94;-1264;13128;4264
95;-1136;13624;4152
96;-1040;14088;3976
97;-880;14488;3880
98;-784;15032;3752
99;-688;15416;3608
100;-528;15944;3544
101;-448;16360;3384
102;-352;16744;3288
103;-256;17304;3208
104;-160;17704;3080
105;-96;18088;3000
106;24;18520;2936
107;120;19080;2808
108;168;19432;2728
109;248;19752;2680
110;312;20232;2600
111;392;20584;2536
112;456;20952;2488
113;488;21432;2424
114;536;21752;2360
115;584;22120;2328
116;632;22568;2312
117;696;22888;2216
118;712;23192;2200
119;744;23640;2152
120;776;23960;2152
121;792;24248;2120
122;824;24664;2104
123;824;24968;2072
124;856;25272;2072
125;856;25656;2056
126;872;25944;2072
127;856;26328;2056
128;872;26616;2040
129;872;26888;2040
130;872;27288;2056
131;872;27544;2072
132;872;27816;2056
133;872;28168;2056
134;872;28408;2056
135;872;28680;2072
136;872;29000;2056
137;872;29224;2072
138;872;29560;2072
139;872;29784;2040
140;872;30024;2056
141;872;30312;2056
142;872;30520;2056
143;872;30792;2056
144;872;31032;2072
145;872;31080;2040
146;872;31128;2056
147;872;31128;2072
148;872;31176;2056
149;872;31176;2056
150;872;31192;2072
151;872;31192;2056
152;872;31192;2072
153;872;31224;2056
