time;y1;y2;y3
0;29800;31304;30952
1;29832;31304;30952
2;29832;31304;30936
3;29784;31304;30952
4;29832;31304;30952
5;29800;31304;30952
6;29800;31304;30952
7;29800;31304;30952
8;29784;31304;30952
9;29800;31304;30952
10;29800;31288;30936
11;29800;31304;30968
12;29352;31304;30936
13;28648;31304;30872
14;27992;31272;30776
15;27416;31256;30712
16;26936;31224;30584
17;26360;31192;30568
18;25928;31176;30392
19;25480;31176;30360
20;24840;31160;30296
21;24424;31160;30184
22;23864;31128;30088
23;23400;31112;29992
24;22920;31112;29880
25;22536;31096;29800
26;21992;31080;29688
27;21560;31080;29560
28;21032;31080;29480
29;20632;31064;29384
30;20232;31064;29224
31;19880;31064;29128
32;19320;31032;29000
33;18952;31032;28904
34;18424;31064;28792
35;18088;31064;28632
36;17704;31032;28536
37;17208;31032;28440
38;16840;31000;28280
39;16456;31000;28168
40;15960;31000;28040
41;15624;30984;27880
42;15240;30936;27784
43;14760;30936;27656
44;14440;30920;27512
45;14072;30888;27400
46;13560;30840;27288
47;13240;30840;27160
48;12856;30792;27000
49;12536;30792;26904
50;12088;30728;26728
51;11704;30712;26584
52;11400;30696;26456
53;10984;30648;26344
54;10648;30632;26136
55;10312;30616;26072
56;9816;30552;25928
57;9528;30536;25768
58;9176;30520;25656
59;8792;30504;25528
60;8472;30456;25368
61;8168;30440;25208
62;7720;30408;25112
63;7416;30392;24952
64;7080;30344;24856
65;6680;30312;24696
66;6328;30248;24584
67;6056;30232;24472
68;5672;30200;24296
69;5320;30152;24136
70;4984;30120;24008
71;4680;30072;23864
72;4392;30056;23768
73;3944;30024;23624
74;3656;30008;23432
75;3288;29928;23352
76;2920;29880;23192
77;2696;29864;23064
78;2296;29848;22936
79;2024;29784;22792
80;1656;29736;22680
81;1368;29688;22584
82;1080;29656;22392
83;728;29624;22312
84;424;29560;22136
85;72;29544;22008
86;-176;29480;21816
87;-464;29448;21720
88;-832;29400;21560
89;-1120;29352;21432
90;-1472;29320;21272
91;-1744;29208;21144
92;-2048;29208;21048
93;-2416;29176;20888
94;-2688;29112;20760
95;-2912;29080;20648
96;-3296;29016;20504
97;-3552;28984;20392
98;-3856;28920;20264
99;-4032;28904;20168
100;-4304;28872;19960
101;-4608;28824;19896
102;-4912;28792;19688
103;-5264;28728;19592
104;-5536;28680;19496
105;-5760;28648;19304
106;-6144;28616;19208
107;-6400;28584;19064
108;-6640;28536;18920
109;-6976;28520;18776
110;-7248;28456;18712
111;-7488;28408;18568
112;-7792;28360;18392
113;-8096;28328;18248
114;-8352;28296;18104
115;-8688;28264;18008
116;-8912;28200;17816
117;-9216;28168;17752
118;-9536;28120;17656
119;-9808;28056;17432
120;-10112;28024;17336
121;-10352;28008;17240
122;-10608;27960;17112
123;-10832;27912;16920
124;-11168;27848;16856
125;-11392;27848;16648
126;-11728;27784;16520
127;-11920;27736;16424
128;-12208;27672;16248
129;-12432;27672;16168
130;-12768;27640;16024
131;-13040;27576;15880
132;-13248;27576;15752
133;-13552;27496;15608
134;-13808;27480;15496
135;-14048;27432;15384
136;-14304;27400;15208
137;-14560;27368;15128
138;-14848;27352;15016
139;-15072;27272;14872
140;-15376;27272;14744
141;-15600;27256;14680
142;-15840;27176;14488
143;-16080;27160;14360
144;-16304;27144;14248
145;-16608;27096;14120
146;-16832;27048;13960
147;-17072;27016;13864
148;-17376;26984;13736
149;-17568;26888;13592
150;-17888;26856;13480
151;-18048;26856;13400
152;-18256;26808;13240
153;-18512;26776;13144
154;-18736;26760;13048
155;-18960;26712;12856
156;-19248;26680;12760
157;-19472;26664;12632
158;-19712;26616;12472
159;-19920;26568;12376
160;-20304;26536;12232
161;-20544;26520;12056
162;-20800;26472;11944
163;-21024;26440;11848
164;-21312;26408;11720
165;-21536;26408;11608
166;-21728;26344;11448
167;-22016;26312;11352
168;-22208;26280;11192
169;-22416;26280;11048
170;-22768;26232;10968
171;-22960;26168;10840
172;-23168;26168;10712
173;-23456;26120;10584
174;-23632;26120;10408
175;-23840;26104;10328
176;-24112;26056;10184
177;-24336;26040;10040
178;-24560;26024;9944
179;-24832;26008;9848
180;-25024;25944;9704
181;-25232;25880;9528
182;-25536;25880;9464
183;-25712;25848;9304
184;-25904;25784;9224
185;-26160;25768;9128
186;-26336;25736;8968
187;-26576;25720;8856
188;-26848;25656;8728
189;-27024;25624;8600
190;-27248;25576;8472
191;-27488;25576;8360
192;-27712;25544;8248
193;-27888;25496;8104
194;-28160;25464;7992
195;-28384;25448;7864
196;-28640;25400;7768
197;-28704;25400;7640
198;-28304;25336;7528
199;-27808;25304;7416
200;-27424;25256;7304
201;-27088;25240;7208
202;-26720;25208;7064
203;-26240;25176;7000
